50		-0.8609256	-0.03015381	-2.787846	-0.8532	-0.03015381	-2.774988	-0.8464317	-0.02249789	-2.778431	19:33:02	LargeOverlap(Clone) (UnityEngine.GameObject)	2.600541	1.22173	
51		-0.74105	-0.007596254	-3.025354	-0.7227418	-0.007596254	-3.024395	-0.7361355	0.003129244	-3.001826	19:33:06	SmallOverlap(Clone) (UnityEngine.GameObject)	4.764749	1.396263	
52		-0.75	-0.03015381	-2.767849	-0.7333333	-0.03015381	-2.767849	-0.7464569	-0.01794672	-2.758209	19:33:10	MediumOverlap(Clone) (UnityEngine.GameObject)	1.570796	1.22173	
53		-0.5864623	-0.01703721	-2.904763	-0.5811021	-0.01703721	-2.88723	-0.5874047	0.001385927	-2.888517	19:33:14	SmallOverlap(Clone) (UnityEngine.GameObject)	5.986479	1.308997	
54		-0.8166509	-0.01703721	-2.965835	-0.830937	-0.01703721	-2.957251	-0.8274958	-0.008652925	-2.93431	19:33:19	MediumOverlap(Clone) (UnityEngine.GameObject)	4.171337	1.308997	
55		-0.6703275	-0.01703721	-2.956968	-0.657194	-0.01703721	-2.946707	-0.6592377	-0.00400877	-2.941653	19:33:25	MediumOverlap(Clone) (UnityEngine.GameObject)	5.375614	1.308997	
56		-0.7567728	-0.007596254	-2.984312	-0.7717522	-0.007596254	-2.983527	-0.7587904	-0.005819559	-2.960744	19:33:29	LargeOverlap(Clone) (UnityEngine.GameObject)	4.660029	1.396263	
57		-0.6815817	-0.03015381	-2.908622	-0.6702945	-0.03015381	-2.894175	-0.6748754	-0.01664114	-2.89229	19:33:33	SmallOverlap(Clone) (UnityEngine.GameObject)	5.61996	1.22173	
58		-0.8406215	-0.007596254	-2.710231	-0.8561691	-0.007596254	-2.719946	-0.8275749	-0.01537418	-2.693512	19:33:37	SmallOverlap(Clone) (UnityEngine.GameObject)	2.129302	1.396263	
59		-0.8103131	-0.01703721	-2.792908	-0.8223021	-0.01703721	-2.804486	-0.7944664	-0.01776505	-2.780894	19:33:42	MediumOverlap(Clone) (UnityEngine.GameObject)	2.338741	1.308997	
60		-0.8067294	-0.03015381	-2.971839	-0.7902515	-0.03015381	-2.979876	-0.8061315	-0.02267194	-2.945637	19:33:46	SmallOverlap(Clone) (UnityEngine.GameObject)	4.258604	1.22173	
61		-0.9178681	-0.007596254	-2.888239	-0.915006	-0.007596254	-2.902964	-0.9114876	-0.01699901	-2.877283	19:33:54	LargeOverlap(Clone) (UnityEngine.GameObject)	3.333579	1.396263	
62		-0.6755772	-0.01703721	-2.811	-0.6669933	-0.01703721	-2.825286	-0.6885023	-0.0136838	-2.803108	19:33:59	MediumOverlap(Clone) (UnityEngine.GameObject)	0.541052	1.308997	
63		-0.8778163	-0.007596254	-2.876037	-0.8806843	-0.007596254	-2.857929	-0.8759779	-0.01616025	-2.860424	19:34:02	SmallOverlap(Clone) (UnityEngine.GameObject)	3.298672	1.396263	
64		-0.7092385	-0.007596254	-2.932575	-0.6930512	-0.007596254	-2.923968	-0.7166452	0.003939629	-2.907652	19:34:07	SmallOverlap(Clone) (UnityEngine.GameObject)	5.201081	1.396263	
65		-0.718885	-0.007596254	-2.774957	-0.7328887	-0.007596254	-2.769581	-0.7207999	-0.01123834	-2.773746	19:34:11	LargeOverlap(Clone) (UnityEngine.GameObject)	1.204277	1.396263	
66		-0.828037	-0.01703721	-2.894178	-0.8200002	-0.01703721	-2.910656	-0.8195894	-0.01885295	-2.867618	19:34:16	SmallOverlap(Clone) (UnityEngine.GameObject)	3.595378	1.308997	
67		-0.8415064	-0.007596254	-2.764698	-0.8285427	-0.007596254	-2.751734	-0.8343519	-0.02091622	-2.745985	19:34:21	SmallOverlap(Clone) (UnityEngine.GameObject)	2.356194	1.396263	
68		-0.8359792	-0.007596254	-2.86839	-0.8385307	-0.007596254	-2.850235	-0.8246686	-0.008895874	-2.856612	19:34:25	SmallOverlap(Clone) (UnityEngine.GameObject)	3.281219	1.396263	
69		-0.7515153	-0.007596254	-2.943218	-0.7365175	-0.007596254	-2.94348	-0.7517216	0.003068924	-2.91602	19:34:30	LargeOverlap(Clone) (UnityEngine.GameObject)	4.694936	1.396263	
70		-0.7133065	-0.03015381	-2.777802	-0.6966909	-0.03015381	-2.78555	-0.7106017	-0.02955246	-2.752272	19:34:34	SmallOverlap(Clone) (UnityEngine.GameObject)	1.134464	1.22173	
71		-0.7796956	-0.007596254	-2.688183	-0.7616408	-0.007596254	-2.684999	-0.783712	-0.009804249	-2.684781	19:34:39	SmallOverlap(Clone) (UnityEngine.GameObject)	1.745329	1.396263	
72		-0.7275283	-0.03015381	-2.772819	-0.7452369	-0.03015381	-2.768074	-0.7300888	-0.01338911	-2.757988	19:34:43	SmallOverlap(Clone) (UnityEngine.GameObject)	1.308997	1.22173	
73		-0.620937	-0.01703721	-2.968955	-0.6100028	-0.01703721	-2.956376	-0.6262295	0.002310753	-2.95123	19:34:47	MediumOverlap(Clone) (UnityEngine.GameObject)	5.5676	1.308997	
74		-0.7567728	-0.01703721	-2.986091	-0.7417934	-0.01703721	-2.986876	-0.7524535	-0.004571438	-2.957494	19:34:51	LargeOverlap(Clone) (UnityEngine.GameObject)	4.660029	1.308997	
75		-0.6225565	-0.01703721	-2.834472	-0.6254507	-0.01703721	-2.818058	-0.6380446	-0.006502628	-2.822245	19:34:55	MediumOverlap(Clone) (UnityEngine.GameObject)	0.1745329	1.308997	
76		-0.6617429	-0.01703721	-2.762386	-0.6507726	-0.01703721	-2.772616	-0.6709545	-0.01282692	-2.754104	19:34:59	LargeOverlap(Clone) (UnityEngine.GameObject)	0.8203048	1.308997	
77		-0.8296725	-0.03015381	-2.75514	-0.8441193	-0.03015381	-2.766427	-0.8276764	-0.03424573	-2.727203	19:35:03	SmallOverlap(Clone) (UnityEngine.GameObject)	2.234021	1.22173	
78		-0.918412	-0.007596254	-2.827539	-0.9213062	-0.007596254	-2.843952	-0.9107648	-0.01386786	-2.804857	19:35:08	MediumOverlap(Clone) (UnityEngine.GameObject)	2.96706	1.396263	
79		-0.7880612	-0.01703721	-2.779288	-0.8030411	-0.01703721	-2.786594	-0.7845365	-0.02647948	-2.769778	19:35:12	MediumOverlap(Clone) (UnityEngine.GameObject)	2.024582	1.308997	
80		-0.6584936	-0.01703721	-2.948913	-0.64553	-0.01703721	-2.93595	-0.6758248	-0.01104569	-2.924484	19:35:16	SmallOverlap(Clone) (UnityEngine.GameObject)	5.497787	1.308997	
81		-0.6209057	-0.007596254	-2.848471	-0.6220683	-0.007596254	-2.831845	-0.6237783	-0.005172968	-2.846795	19:35:20	MediumOverlap(Clone) (UnityEngine.GameObject)	0.06981317	1.396263	
82		-0.7424328	-0.01703721	-2.771101	-0.7573757	-0.01703721	-2.769794	-0.7439945	-0.01102948	-2.763494	19:35:25	LargeOverlap(Clone) (UnityEngine.GameObject)	1.48353	1.308997	
83		-0.7387212	-0.007596254	-2.728759	-0.722118	-0.007596254	-2.730211	-0.7463301	-0.01747942	-2.72052	19:35:29	MediumOverlap(Clone) (UnityEngine.GameObject)	1.48353	1.396263	
84		-0.6907861	-0.01703721	-2.921257	-0.677378	-0.01703721	-2.908754	-0.7004426	0.001344204	-2.897485	19:35:33	SmallOverlap(Clone) (UnityEngine.GameObject)	5.462881	1.308997	
85		-0.6357381	-0.01703721	-2.797089	-0.6271312	-0.01703721	-2.813277	-0.6524807	-0.004378796	-2.782908	19:35:36	SmallOverlap(Clone) (UnityEngine.GameObject)	0.4886922	1.308997	
86		-0.6466489	-0.01703721	-2.935813	-0.6576822	-0.01703721	-2.950455	-0.6596445	-0.0007243156	-2.912253	19:35:40	SmallOverlap(Clone) (UnityEngine.GameObject)	5.637414	1.308997	
87		-0.8107541	-0.03015381	-2.972284	-0.7945668	-0.03015381	-2.980891	-0.8132204	-0.01596117	-2.943098	19:35:44	SmallOverlap(Clone) (UnityEngine.GameObject)	4.223697	1.22173	
88		-0.7738	-0.03015381	-2.688764	-0.788654	-0.03015381	-2.690852	-0.7683981	-0.02676988	-2.677985	19:35:49	LargeOverlap(Clone) (UnityEngine.GameObject)	1.710423	1.22173	
89		-0.8770853	-0.03015381	-2.743769	-0.8882375	-0.03015381	-2.756155	-0.8626915	-0.02411914	-2.72388	19:35:53	MediumOverlap(Clone) (UnityEngine.GameObject)	2.408554	1.22173	
90		-0.9116932	-0.01703721	-2.91401	-0.9062671	-0.01703721	-2.929768	-0.8989734	-0.02202296	-2.893305	19:35:57	MediumOverlap(Clone) (UnityEngine.GameObject)	3.473205	1.308997	
91		-0.7057393	-0.007596254	-2.980029	-0.691644	-0.007596254	-2.974899	-0.7103642	0.004463673	-2.951042	19:36:03	LargeOverlap(Clone) (UnityEngine.GameObject)	5.061455	1.396263	
92		-0.8165112	-0.03015381	-2.914323	-0.826153	-0.03015381	-2.902832	-0.8131593	-0.01820469	-2.899586	19:36:07	LargeOverlap(Clone) (UnityEngine.GameObject)	3.839724	1.22173	
93		-0.7913711	-0.03015381	-3.024529	-0.7735823	-0.03015381	-3.028964	-0.8062857	-0.02008319	-3.003537	19:36:11	SmallOverlap(Clone) (UnityEngine.GameObject)	4.468043	1.22173	
94		-0.7144451	-0.007596254	-3.026005	-0.6981426	-0.007596254	-3.02254	-0.7167224	-0.0136857	-2.996029	19:36:15	MediumOverlap(Clone) (UnityEngine.GameObject)	4.921828	1.396263	
95		-0.7920932	-0.007596254	-2.782898	-0.7760584	-0.007596254	-2.77401	-0.7902485	-0.01955533	-2.772257	19:36:22	SmallOverlap(Clone) (UnityEngine.GameObject)	2.076942	1.396263	
96		-0.6706823	-0.03015381	-2.823601	-0.6645812	-0.03015381	-2.837304	-0.6790326	-0.03702307	-2.821391	19:36:26	LargeOverlap(Clone) (UnityEngine.GameObject)	0.418879	1.22173	
97		-0.8847578	-0.03015381	-2.753726	-0.8939927	-0.03015381	-2.765546	-0.8783345	-0.02446961	-2.733091	19:36:30	LargeOverlap(Clone) (UnityEngine.GameObject)	2.478368	1.22173	
98		-0.6134253	-0.03015381	-2.756184	-0.603395	-0.03015381	-2.769495	-0.6217195	-0.03468657	-2.72581	19:36:34	MediumOverlap(Clone) (UnityEngine.GameObject)	0.6457718	1.22173	
99		-0.5990071	-0.007596254	-2.778911	-0.6068316	-0.007596254	-2.764195	-0.605747	-0.02121043	-2.754352	19:36:39	MediumOverlap(Clone) (UnityEngine.GameObject)	0.4886922	1.396263	
100		-0.668412	-0.01703721	-2.82958	-0.6746824	-0.01703721	-2.812352	-0.6827829	-0.01359272	-2.814667	19:36:43	SmallOverlap(Clone) (UnityEngine.GameObject)	0.3490658	1.308997	
101		-0.6225565	-0.007596254	-2.881845	-0.6196623	-0.007596254	-2.865432	-0.6422038	-0.009104967	-2.861734	19:36:46	MediumOverlap(Clone) (UnityEngine.GameObject)	6.108652	1.396263	
102		-0.6650732	-0.007596254	-2.877552	-0.6619545	-0.007596254	-2.86288	-0.6799903	-0.01248097	-2.858813	19:36:51	LargeOverlap(Clone) (UnityEngine.GameObject)	6.073746	1.396263	
103		-0.6865008	-0.007596254	-2.800361	-0.6739975	-0.007596254	-2.81377	-0.6978998	-0.01250529	-2.792293	19:36:57	SmallOverlap(Clone) (UnityEngine.GameObject)	0.7504916	1.396263	
104		-0.7334332	-0.007596254	-2.774422	-0.7497936	-0.007596254	-2.771242	-0.7362451	-0.01335263	-2.7627	19:37:00	MediumOverlap(Clone) (UnityEngine.GameObject)	1.37881	1.396263	
105		-0.7160751	-0.007596254	-2.93968	-0.7007334	-0.007596254	-2.933168	-0.7257667	-0.002902985	-2.907022	19:37:04	MediumOverlap(Clone) (UnityEngine.GameObject)	5.113815	1.396263	
106		-0.7650768	-0.007596254	-2.945355	-0.7831316	-0.007596254	-2.942172	-0.766627	-0.006052971	-2.909015	19:37:09	SmallOverlap(Clone) (UnityEngine.GameObject)	4.537856	1.396263	
107		-0.8325746	-0.03015381	-2.88681	-0.8382399	-0.03015381	-2.869374	-0.8193844	-0.02142048	-2.868577	19:37:13	SmallOverlap(Clone) (UnityEngine.GameObject)	3.455752	1.22173	
108		-0.7470155	-0.01703721	-2.689074	-0.728685	-0.01703721	-2.689394	-0.7489901	-0.02916265	-2.677693	19:37:19	SmallOverlap(Clone) (UnityEngine.GameObject)	1.553343	1.308997	
109		-0.6207678	-0.007596254	-2.85336	-0.6199828	-0.007596254	-2.868339	-0.636579	-0.007977009	-2.824361	19:37:23	LargeOverlap(Clone) (UnityEngine.GameObject)	0.05235988	1.396263	
110		-0.7203044	-0.007596254	-2.778634	-0.7030767	-0.007596254	-2.784904	-0.7201744	-0.01960588	-2.751637	19:37:26	SmallOverlap(Clone) (UnityEngine.GameObject)	1.22173	1.396263	
111		-0.7680517	-0.007596254	-2.775385	-0.782724	-0.007596254	-2.778504	-0.7579441	-0.01278472	-2.762242	19:37:31	LargeOverlap(Clone) (UnityEngine.GameObject)	1.780236	1.396263	
112		-0.7680517	-0.03015381	-2.945317	-0.7517493	-0.03015381	-2.948782	-0.7722398	-0.02258706	-2.914877	19:37:34	MediumOverlap(Clone) (UnityEngine.GameObject)	4.502949	1.22173	
113		-0.9203593	-0.03015381	-2.845572	-0.9218119	-0.03015381	-2.862175	-0.9174637	-0.03773761	-2.817288	19:37:38	MediumOverlap(Clone) (UnityEngine.GameObject)	3.054326	1.22173	
114		-0.6019009	-0.03015381	-2.775065	-0.5935676	-0.03015381	-2.789499	-0.6143624	-0.02215791	-2.756246	19:37:43	MediumOverlap(Clone) (UnityEngine.GameObject)	0.5235988	1.22173	
115		-0.5937745	-0.03015381	-2.930221	-0.5998756	-0.03015381	-2.943924	-0.6039537	-0.02895236	-2.905016	19:37:47	LargeOverlap(Clone) (UnityEngine.GameObject)	5.864306	1.22173	
116		-0.8329073	-0.01703721	-3.010316	-0.8168726	-0.01703721	-3.019204	-0.8294559	-0.01182795	-2.974301	19:37:51	SmallOverlap(Clone) (UnityEngine.GameObject)	4.206244	1.308997	
117		-0.6256036	-0.03015381	-2.896522	-0.621469	-0.03015381	-2.882103	-0.6292793	-0.01413703	-2.872524	19:37:55	LargeOverlap(Clone) (UnityEngine.GameObject)	6.003932	1.22173	
118		-0.7738	-0.007596254	-3.030277	-0.7903045	-0.007596254	-3.027957	-0.7819117	-0.01860595	-3.011817	19:38:00	MediumOverlap(Clone) (UnityEngine.GameObject)	4.572762	1.396263	
119		-0.668412	-0.007596254	-2.89076	-0.6621417	-0.007596254	-2.873533	-0.6885945	-0.01072407	-2.875396	19:38:05	SmallOverlap(Clone) (UnityEngine.GameObject)	5.934119	1.396263	
120		-0.6636515	-0.01703721	-2.852196	-0.6652194	-0.01703721	-2.837278	-0.6805921	-0.02193379	-2.825494	19:38:09	LargeOverlap(Clone) (UnityEngine.GameObject)	0.1047198	1.308997	
121		-0.8743964	-0.03015381	-2.82568	-0.8698025	-0.03015381	-2.809659	-0.8706494	-0.01710868	-2.801787	19:38:19	MediumOverlap(Clone) (UnityEngine.GameObject)	2.86234	1.22173	
122		-0.7115311	-0.01703721	-2.694802	-0.6969156	-0.01703721	-2.698176	-0.7212828	-0.02206635	-2.682006	19:38:23	LargeOverlap(Clone) (UnityEngine.GameObject)	1.343904	1.308997	
123		-0.8793898	-0.01703721	-2.86376	-0.8790699	-0.01703721	-2.88209	-0.8709933	-0.02277279	-2.828067	19:38:27	SmallOverlap(Clone) (UnityEngine.GameObject)	3.159046	1.308997	
124		-0.6291858	-0.01703721	-2.907947	-0.6357559	-0.01703721	-2.925062	-0.6317734	-0.01899791	-2.880523	19:38:30	SmallOverlap(Clone) (UnityEngine.GameObject)	5.916666	1.308997	
125		-0.7100102	-0.007596254	-2.984732	-0.7258612	-0.007596254	-2.989882	-0.7019366	0.01145792	-2.954576	19:38:34	MediumOverlap(Clone) (UnityEngine.GameObject)	5.026548	1.396263	
126		-0.801034	-0.03015381	-2.932023	-0.8145176	-0.03015381	-2.922226	-0.789905	-0.0221777	-2.919335	19:38:37	MediumOverlap(Clone) (UnityEngine.GameObject)	4.08407	1.22173	
127		-0.785555	-0.03015381	-3.029168	-0.7676223	-0.03015381	-3.03298	-0.7914104	-0.01479268	-2.999512	19:38:45	SmallOverlap(Clone) (UnityEngine.GameObject)	4.502949	1.22173	
128		-0.9209059	-0.03015381	-2.867949	-0.9203824	-0.03015381	-2.88294	-0.9058554	-0.03194356	-2.839002	19:38:49	LargeOverlap(Clone) (UnityEngine.GameObject)	3.176499	1.22173	
129		-0.8302844	-0.01703721	-2.711077	-0.814097	-0.01703721	-2.70247	-0.8188547	-0.01615858	-2.699025	19:38:53	SmallOverlap(Clone) (UnityEngine.GameObject)	2.059489	1.308997	
130		-0.84617	-0.007596254	-2.775557	-0.8584374	-0.007596254	-2.789181	-0.8366412	-0.01728129	-2.757931	19:38:57	SmallOverlap(Clone) (UnityEngine.GameObject)	2.408554	1.396263	
131		-0.7119389	-0.01703721	-2.940264	-0.7254208	-0.01703721	-2.946839	-0.7192999	-0.01493573	-2.902976	19:39:00	LargeOverlap(Clone) (UnityEngine.GameObject)	5.166174	1.308997	
132		-0.7724717	-0.01703721	-2.734871	-0.7888852	-0.01703721	-2.737765	-0.7685606	-0.01834106	-2.717292	19:39:04	MediumOverlap(Clone) (UnityEngine.GameObject)	1.745329	1.308997	
